,PrecinctID,Yes,No,Ballots,Turnout,prop,PYes,PNo
209,7865,409,457,889,55.22,I,0.472286374,0.527713626
177,7812,362,405,790,52.25,I,0.471968709,0.528031291
198,7842,432,484,936,53.73,I,0.471615721,0.528384279
238,7935,467,525,1011,60.15,I,0.470766129,0.529233871
235,7932,128,144,281,55.31,I,0.470588235,0.529411765
378,9726,96,108,213,31.04,I,0.470588235,0.529411765
15,1126,261,295,586,40.52,I,0.46942446,0.53057554
246,7946,334,379,741,43.56,I,0.468443198,0.531556802
107,7513,221,252,505,40.27,I,0.467230444,0.532769556
365,9706,14,16,30,56.6,I,0.466666667,0.533333333
147,7628,157,180,339,37.71,I,0.465875371,0.534124629
135,7612,210,241,490,35.45,I,0.465631929,0.534368071
29,7002,169,194,373,43.37,I,0.465564738,0.534435262
268,9125,163,188,372,45.82,I,0.464387464,0.535612536
259,9108,266,307,605,42.13,I,0.464223386,0.535776614
343,9442,335,387,759,42.28,I,0.46398892,0.53601108
176,7809,210,243,463,50.82,I,0.463576159,0.536423841
115,7527,141,164,317,45.74,I,0.462295082,0.537704918
84,7322,182,212,446,54.66,I,0.461928934,0.538071066
258,9107,326,380,723,44.33,I,0.461756374,0.538243626
360,9521,367,428,814,47.3,I,0.46163522,0.53836478
52,7038,114,133,268,31.67,I,0.461538462,0.538461538
243,7943,187,220,415,50.79,I,0.459459459,0.540540541
92,7336,375,442,848,49.05,I,0.458996328,0.541003672
104,7507,267,315,615,36.39,I,0.458762887,0.541237113
361,9522,176,208,405,46.87,I,0.458333333,0.541666667
272,9131,283,335,648,42.78,I,0.457928803,0.542071197
169,7709,255,302,575,53.49,I,0.457809695,0.542190305
262,9114,334,396,762,45.33,I,0.457534247,0.542465753
193,7836,214,255,485,53.53,I,0.456289979,0.543710021
10,1117,125,149,297,38.67,I,0.45620438,0.54379562
279,9142,331,396,766,44.3,I,0.455295736,0.544704264
265,9121,320,383,739,45.59,I,0.455192034,0.544807966
33,7007,410,491,929,55.79,I,0.455049945,0.544950055
18,1132,160,192,379,44.27,I,0.454545455,0.545454545
35,7012,204,246,458,51.63,I,0.453333333,0.546666667
100,7349,149,181,355,43.29,I,0.451515152,0.548484848
106,7509,176,214,407,47.77,I,0.451282051,0.548717949
7,1112,110,134,258,38.62,I,0.450819672,0.549180328
261,9113,201,245,456,48.56,I,0.450672646,0.549327354
16,1128,268,327,623,40.04,I,0.450420168,0.549579832
105,7508,152,186,359,55.4,I,0.449704142,0.550295858
395,9755,278,341,641,53.38,I,0.44911147,0.55088853
53,7039,119,146,277,37.95,I,0.449056604,0.550943396
250,7955,145,178,344,43.33,I,0.448916409,0.551083591
57,7046,158,194,365,36.07,I,0.448863636,0.551136364
11,1118,262,322,606,37.24,I,0.448630137,0.551369863
248,7952,268,331,628,44.11,I,0.447412354,0.552587646
63,7101,25,31,58,48.33,I,0.446428571,0.553571429
113,7524,99,123,227,38.22,I,0.445945946,0.554054054
327,9413,165,205,404,47.98,I,0.445945946,0.554054054
139,7618,148,184,341,42.62,I,0.445783133,0.554216867
255,9101,164,204,377,45.1,I,0.445652174,0.554347826
396,9756,132,165,306,37.78,I,0.444444444,0.555555556
1,1101,87,109,210,42.68,I,0.443877551,0.556122449
34,7011,293,368,672,37.03,I,0.443267776,0.556732224
127,7554,324,408,762,50.4,I,0.442622951,0.557377049
321,9404,154,194,375,44.43,I,0.442528736,0.557471264
42,7023,184,232,436,28.31,I,0.442307692,0.557692308
17,1129,244,308,583,37.79,I,0.442028986,0.557971014
71,7301,369,467,885,50.11,I,0.44138756,0.55861244
281,9148,335,424,795,43.76,I,0.441370224,0.558629776
276,9136,169,214,404,48.67,I,0.441253264,0.558746736
330,9419,322,408,768,46.77,I,0.44109589,0.55890411
